skill_component_id,skill_component,description,purpose,domain,keywords_en,keywords_ge
sc_0011,"Evaluate generative model outputs for coherence, safety, relevance and decision making",NA,USE AI,GenAI Proficiency,"evaluate model outputs, coherence assessment, output safety review, relevance evaluation, decision-making quality check, llm output evaluation, content safety evaluation, output coherence check, generative output validation, assess output relevance, safety and coherence assessment, evaluate ai decisions, quality checking ai output, output review for safety, coherence and relevance analysis","modellausgaben bewerten, kohärenzbewertung, sicherheitsprüfung von ausgaben, relevanzbewertung, entscheidungsqualitätsprüfung, llm-ausgabenevaluierung, inhalts-sicherheitsbewertung, kohärenzprüfung der ausgabe, validierung generierter ausgaben, ausgabenrelevanz beurteilen, sicherheits- und kohärenzbewertung, ki-entscheidungen evaluieren, qualitätsprüfung von ki-ausgaben, sicherheitsprüfung der ausgaben, kohärenz- und relevanzanalyse"
sc_0012,Apply AI tools effectively within professional domain workflows,NA,USE AI,GenAI Proficiency,"ai tool usage, integrating ai into workflows, domain-specific ai tools, use ai in daily tasks, effective ai tool adoption, ai in professional workflows, applying ai solutions, ai integration in domain, workflow enhancement with ai, embedding ai tools, ai-assisted workflow, domain ai implementation, utilizing ai tools, ai tool best practices, augment workflow with ai","einsatz von ki-tools, ki in workflows integrieren, domänenspezifische ki-tools, ki im arbeitsalltag einsetzen, effektive einführung von ki-tools, ki in professionellen workflows, ki-lösungen anwenden, ki-integration im fachbereich, workflow-optimierung mit ki, ki-tools einbetten, ki-gestützter workflow, ki-einsatz im fachgebiet, ki-tools nutzen, best practices für ki-tools, workflow mit ki erweitern"
sc_0013,Design human-in-the-loop workflows for AI applications,NA,INTEGRATE AI,GenAI Proficiency,"human-in-the-loop design, hybrid human-ai workflow, human oversight integration, interactive ai workflows, hitl process design, human-ai collaboration, human intervention workflows, designing with human feedback, human-in-loop processes, collaborative ai workflow, human-guided ai process, incorporate human oversight, human-machine workflow, human review loops, hitl system design","human-in-the-loop-design, hybrider mensch-ki-workflow, integration menschlicher aufsicht, interaktive ki-workflows, hitl-prozessdesign, mensch-ki-zusammenarbeit, workflows mit menschlicher intervention, design mit menschlichem feedback, human-in-the-loop-prozesse, kollaborativer ki-workflow, menschlich gesteuerter ki-prozess, menschliche aufsicht einbinden, mensch-maschine-workflow, menschliche review-schleifen, hitl-systemdesign"
sc_0014,Select and evaluate appropriate generative AI models for specific use cases and applications,NA,"INTEGRATE AI, USE AI",GenAI Proficiency,"model selection for use-case, evaluate generative models, choose appropriate ai model, model suitability analysis, select ai model for application, generative model evaluation, match model to application, use-case based model selection, model fit, comparing ai models, model appropriateness, evaluating model capabilities, generative model comparison","modellauswahl für anwendungsfall, generative modelle evaluieren, passendes ki-modell auswählen, modell-eignungsanalyse, ki-modell für anwendung auswählen, bewertung generativer modelle, modell-auswahl zum anwendungsfall, modell-fit, ki-modelle vergleichen, modellangemessenheit, bewertung der modellfähigkeiten, vergleich generativer modelle"
sc_0015,Define regulatory strategies to enable access to target markets,NA,FRAME AI,AI Regulation,"regulatory strategy, market access compliance, regulatory planning, compliance strategy, navigating regulations, target market access, regulatory approval process, strategy for regulation compliance, enabling market entry, regulatory alignment, compliance roadmap, legal strategy for markets, regulatory environment strategy","regulierungsstrategie, marktzugangs-compliance, regulierungsplanung, compliance-strategie, navigation durch regulierungen, marktzugang ermöglichen, zulassungsverfahren-strategie, strategie für regulierungs-compliance, ermöglichung des markteintritts, regulatorische abstimmung, compliance-fahrplan, rechtsstrategie für märkte, strategie für regulatorisches umfeld"
sc_0016,Define methodologies and working instructions in accordance with the defined governance structures to operationalize the governance policies,NA,INTEGRATE AI,AI Regulation,"define methodologies, working instructions, governance operationalization, implement governance policies, standard operating procedures for ai, methodological guidelines, operational instructions, governance structure implementation, policy execution steps, process documentation, bridging policy to practice, governance sops, how-to guides for governance","methoden und arbeitsanweisungen definieren, governance-operationalisierung, governance-richtlinien umsetzen, standardarbeitsanweisungen für ki, methodische leitlinien, operative anleitungen, umsetzung der governance-struktur, umsetzungsschritte für richtlinien, prozessdokumentation, überführung von richtlinie zu praxis, governance-sops, governance-anleitungen"
sc_0017,"Assess AI model transparency, interpretability, and explainability for regulatory compliance",NA,INTEGRATE AI,AI Regulation,"assess model transparency, interpretability evaluation, explainability assessment, regulatory compliance check, xai compliance, transparency standards evaluation, interpretability criteria assessment, check model explainability, regulatory xai requirements, model transparency analysis, ensure model interpretability, compliance with transparency rules, explainability audit, interpretability and compliance, transparency compliance review","modelltransparenz bewerten, interpretierbarkeitsbewertung, erklärbarkeitsbewertung, regulatorische compliance-prüfung, xai-compliance, bewertung von transparenzstandards, bewertung von interpretierbarkeitskriterien, modellerklärbarkeit prüfen, regulatorische xai-anforderungen, modelltransparenz-analyse, interpretierbarkeit des modells sicherstellen, einhaltung von transparenzregeln, erklärbarkeits-audit, interpretierbarkeit und compliance, transparenz-compliance-überprüfung"
sc_0018,Compile technical documentation as evidence for compliance,NA,INTEGRATE AI,AI Regulation,"compliance documentation, technical evidence collection, compile documentation, regulatory evidence, document compliance evidence, technical reports for compliance, audit documentation, evidence of compliance, compliance dossier, prepare documentation for audit, documentation for regulators, compliance evidence gathering, compile compliance reports, technical compliance documents, proof of compliance documentation","compliance-dokumentation, sammlung technischer nachweise, dokumentation zusammenstellen, regulatorische nachweise, compliance-nachweise dokumentieren, technische berichte für compliance, audit-dokumentation, compliance-nachweise, compliance-dossier, dokumentation für audit vorbereiten, dokumentation für regulierungsbehörden, compliance-nachweissammlung, compliance-berichte erstellen, technische compliance-dokumente, nachweisdokumentation für compliance"
sc_0019,"Select, integrate, and evaluate suitable GPAI models",NA,INTEGRATE AI,AI Regulation,"model selection, integrate ai models, evaluate ai models, choose suitable models, select generative models, model integration, model evaluation methods, appropriate model selection, gpai model assessment, model benchmarking, integrating gpt models, selecting the right model, assess model fit, model comparison, evaluate model performance","modellauswahl, ki-modelle integrieren, ki-modelle evaluieren, geeignete modelle wählen, generative modelle auswählen, modellintegration, modell-evaluierungsmethoden, angemessene modellauswahl, gpai-modellbewertung, modell-benchmarking, integration von gpt-modellen, das richtige modell auswählen, modell-fit beurteilen, modellvergleich, modellleistung bewerten"
sc_0020,Design and implement data (processing) architectures on an enterprise or use case level,NA,BUILD AI,Data Competence,"enterprise data model, data governance, master data management (mdm), cloud data warehouse, data mesh, data security, interoperability, metadata management, disaster recovery, data sovereignty","unternehmensdatenmodell, data governance, stammdatenmanagement (mdm), cloud data warehouse, data mesh, datensicherheit, interoperabilität, metadatenmanagement, disaster recovery, datensouveränität"
sc_0021,Assess data quality and fitness for AI applications,NA,BUILD AI,Data Competence,"data quality assessment, data fitness evaluation, data suitability check, data quality metrics, dataset readiness, data quality checks, data suitability for ai, assess data cleanliness, evaluate dataset quality, data fit-for-purpose assessment, data validation, data appropriateness, dataset quality check, data fitness determination","datenqualitätsbewertung, daten-eignungsbewertung, überprüfung der daten-eignung, datenqualitätsmetriken, datenbereitschaft, datenqualitätsprüfungen, daten-eignung für ki, datenreinheit bewerten, datensatzqualität evaluieren, daten-zweckmäßigkeit beurteilen, datenvalidierung, angemessenheit der daten, datensatzqualitätscheck, datenfitness-bestimmung"
sc_0022,"Write clean, readable, maintainable code following best practices",NA,BUILD AI,Programming,"clean code, readable code, maintainable code, coding best practices, code quality standards, software craftsmanship, code readability, coding standards, clear coding style, self-documenting code, clean coding principles, maintainability practices, code style guidelines, well-structured code, quality coding habits","sauberer code, gut lesbarer code, wartbarer code, coding best practices, code-qualitätsstandards, software-handwerk, code-lesbarkeit, kodierungsstandards, klarer programmierstil, selbstdokumentierender code, clean-code-prinzipien, wartbarkeitspraktiken, code-stil-richtlinien, gut strukturierter code, qualitätsbewusste programmiergewohnheiten"
sc_0023,Design AI literacy and education programs for organizational transformation,NA,INTEGRATE AI,AI Strategy,"ai literacy program, ai education initiatives, organizational ai training, ai upskilling programs, ai competency development, ai awareness training, workforce ai education, ai knowledge programs, ai training curriculum, organizational ai learning, ai capacity building, employee ai education, ai skills development, ai transformation training, corporate ai literacy","ki-kompetenzprogramm, ki-bildungsinitiativen, organisationale ki-schulungen, ki-weiterbildungsprogramme, ki-kompetenzentwicklung, ki-bewusstseinsschulung, ki-schulung der belegschaft, ki-wissensprogramme, ki-schulungsplan, organisatorisches ki-lernen, ki-kapazitätsaufbau, mitarbeiterschulung zu ki, ki-fähigkeiten-entwicklung, ki-transformationstraining, unternehmerische ki-literacy"
sc_0024,Drive implementation of AI-based product and process innovation for rewarding high-impact use cases,NA,INTEGRATE AI,AI Strategy,"ai-driven innovation, product innovation with ai, ai process innovation, high-impact ai use cases, implement ai solutions, drive ai initiatives, innovation through ai, strategic ai implementation, ai use case development, ai integration in products, strategic ai projects, maximize ai impact, roi-driven ai implementations, transformative ai applications, driving ai adoption","ki-getriebene innovation, produktinnovation durch ki, ki-prozessinnovation, hochwirksame ki-anwendungsfälle, ki-lösungen implementieren, ki-initiativen vorantreiben, innovation durch ki, strategische ki-implementierung, entwicklung von ki-anwendungsfällen, ki-integration in produkten, strategische ki-projekte, ki-impact maximieren, roi-orientierte ki-implementierungen, transformative ki-anwendungen, ki-adoption vorantreiben"
sc_0025,Design comprehensive measurable AI implementation roadmaps and strategic milestones,NA,INTEGRATE AI,AI Strategy,"ai roadmap design, strategic ai planning, implementation milestones, ai strategic roadmap, ai plan with milestones, timeline for ai adoption, comprehensive ai strategy, milestone-based planning, ai rollout plan, ai initiative timeline, strategic ai roadmap, ai implementation strategy, measurable ai goals, strategic planning for ai, ai deployment milestones","ki-fahrplan-design, strategische ki-planung, umsetzungsmeilensteine, strategischer ki-fahrplan, ki-plan mit meilensteinen, zeitplan für ki-einführung, umfassende ki-strategie, meilensteinbasierte planung, ki-rollout-plan, zeitplan für ki-initiativen, strategischer ki-fahrplan, ki-implementierungsstrategie, messbare ki-ziele, strategische ki-planung, ki-einführungsmeilensteine"
sc_0026,Manage cross-functional AI investment portfolios to optimize strategic value across regions and business units,NA,INTEGRATE AI,AI Strategy,"ai investment portfolio management, cross-functional ai initiatives, strategic value optimization, global ai strategy, multi-business ai coordination, portfolio management, prioritize ai investments, roi optimization, allocate ai resources, cross-unit ai projects, synergy in ai investments, ai projects portfolio, strategic value maximization, ai program management, enterprise ai strategy","ki-investitionsportfolio-management, funktionsübergreifende ki-initiativen, optimierung strategischen werts, globale ki-strategie, koordination von ki bereichsübergreifend, portfoliomanagement, ki-investitionen priorisieren, roi-optimierung, ki-ressourcen zuweisen, bereichsübergreifende ki-projekte, synergien bei ki-investitionen, ki-projektportfolio, maximierung des strategischen werts, ki-programm-management, unternehmensweite ki-strategie"
sc_0027,Evaluate the financial and strategic value and feasibility of AI solutions and initiatives,NA,INTEGRATE AI,AI Strategy,"ai value assessment, feasibility analysis, roi evaluation, cost-benefit analysis, strategic evaluation, financial impact analysis, ai solution evaluation, initiative feasibility, business case analysis, value proposition assessment, risk vs reward analysis, evaluate ai initiatives","bewertung von ki-nutzen, machbarkeitsanalyse, roi-bewertung, kosten-nutzen-analyse, strategische auswertung, analyse finanzieller auswirkungen, ki-lösungsbewertung, machbarkeitsprüfung, business-case-analyse, wertversprechen-bewertung, risiko-nutzen-analyse, bewertung von ki-initiativen"
sc_0028,Develop strategic AI vendor ecosystems and lead collaborative innovation partnerships,NA,INTEGRATE AI,AI Strategy,"ai vendor ecosystem, strategic partnerships, innovation partnerships, ai vendor collaboration, partner ecosystem development, strategic ai alliances, vendor management in ai, collaborative innovation, partner ecosystem for ai, co-innovation with vendors, ai partnership network, external innovation alliances, vendor ecosystem strategy, collaborative ai development, strategic vendor partnerships","ki-anbieter-ökosystem, strategische partnerschaften, innovationspartnerschaften, ki-anbieter-zusammenarbeit, entwicklung von partner-ökosystemen, strategische ki-allianzen, anbieter-management in ki, kollaborative innovation, partner-ökosystem für ki, co-innovation mit anbietern, ki-partnerschaftsnetzwerk, externe innovationsallianzen, anbieter-ökosystem-strategie, kollaborative ki-entwicklung, strategische anbieterpartnerschaften"
sc_0029,Assess AI risks and develop comprehensive mitigation strategies for organizational adoption,NA,INTEGRATE AI,AI Strategy,"ai risk assessment, risk mitigation strategies, ai risk management, identify ai risks, mitigation plans for ai, organizational ai risk strategy, manage ai risks, ai risk analysis, comprehensive risk mitigation, address ai adoption risks, ai risk identification, ai risk reduction, enterprise risk management (ai), ai risk planning, mitigate ai deployment risks","ki-risikoanalyse, risikominderungsstrategien, ki-risikomanagement, ki-risiken identifizieren, minderungspläne für ki, organisatorische ki-risikostrategie, ki-risiken managen, ki-risikoanalyse, umfassende risikominderung, risiken bei ki-einführung angehen, ki-risikoidentifizierung, ki-risikoreduktion, unternehmensweites risikomanagement (ki), ki-risikoplanung, ki-einführungsrisiken mindern"
sc_0030,Develop and manage comprehensive AI strategy aligned with corporate objectives and IT architectures,NA,INTEGRATE AI,AI Strategy,"ai strategy development, align ai with corporate goals, enterprise ai strategy, ai strategic planning, integrate ai into corporate strategy, ai roadmap alignment, ai and it strategy alignment, comprehensive ai plan, ai strategy management, corporate ai alignment, strategic ai initiatives, business-aligned ai strategy, ai strategy execution, holistic ai strategy, enterprise ai planning","ki-strategieentwicklung, ki an unternehmensziele ausrichten, enterprise-ki-strategie, strategische ki-planung, ki in unternehmensstrategie integrieren, ki-fahrplan-ausrichtung, abstimmung von ki- und it-strategie, umfassender ki-plan, ki-strategie-management, unternehmens-ki-ausrichtung, strategische ki-initiativen, geschäftsorientierte ki-strategie, ki-strategieumsetzung, ganzheitliche ki-strategie, unternehmens-ki-planung"
sc_0031,"Align AI initiatives with existing data, IT, and digital transformation strategies",NA,INTEGRATE AI,AI Strategy,"alignment of ai initiatives, integration with data strategy, aligning with it strategy, digital transformation alignment, synergy of ai projects, cohesive strategy, harmonize ai with it and data, integrated strategic planning, cross-strategy alignment, unified strategy approach, ensuring ai fits into digital transformation, alignment planning","ausrichtung von ki-initiativen, integration in die datenstrategie, abstimmung mit it-strategie, abgleich mit digitalstrategie, synergie von ki-projekten, kohärente strategie, ki mit it und daten harmonisieren, integrierte strategieplanung, strategieübergreifende abstimmung, einheitlicher strategieansatz, sicherstellen, dass ki in die digitale transformation passt, ausrichtungsplanung"
sc_0032,Assess AI talent acquisition and development strategies for organizational readiness,NA,INTEGRATE AI,AI Strategy,"ai talent strategy, workforce readiness, talent acquisition for ai, skill development, ai team building, training strategy, recruiting ai experts, upskilling, talent gap analysis, hr strategy for ai, developing ai capabilities, organization readiness for ai, talent pipeline, learning & development for ai","ki-talentstrategie, mitarbeiterbereitschaft, talentakquise für ki, kompetenzentwicklung, ki-teamaufbau, schulungsstrategie, ki-experten rekrutieren, upskilling, talentlückenanalyse, hr-strategie für ki, entwicklung von ki-fähigkeiten, organisationsbereitschaft für ki, talent-pipeline, lernen & entwicklung für ki"
sc_0033,Develop AI performance measurement systems and success metrics frameworks,NA,INTEGRATE AI,AI Strategy,"ai performance metrics, success metrics for ai, performance measurement framework, ai kpi development, tracking ai success, ai impact metrics, performance measurement systems, ai project kpis, metrics framework for ai, measure ai outcomes, ai performance evaluation, defining ai success metrics, ai benefit tracking, performance indicator setup, ai monitoring metrics","ki-leistungskennzahlen, erfolgsmetriken für ki, leistungsmetriken-rahmen, entwicklung von ki-kpis, ki-erfolg verfolgen, ki-auswirkungsmetriken, leistungsmesssysteme, ki-projekt-kpis, metriken-framework für ki, ki-ergebnisse messen, ki-leistungsbewertung, definition von ki-erfolgskennzahlen, ki-nutzen-tracking, einrichtung von leistungsindikatoren, ki-überwachungsmetriken"
sc_0034,Data-driven development of AI scaling strategies for enterprise-wide transformation,NA,INTEGRATE AI,AI Strategy,"ai scaling strategy, data-driven strategy, enterprise ai scaling, scaling ai initiatives, data-informed scaling plan, ai transformation planning, large-scale ai rollout, scaling up ai projects, ai growth strategy, enterprise-wide ai plan, ai scaling roadmap, scale-out ai development, ai expansion strategy, data-backed scaling decisions, ai scale-up strategy","datengetriebene ki-skalierungsstrategie, datengetriebene strategie, ki-skalierung im unternehmen, skalierung von ki-initiativen, dateninformierter skalierungsplan, ki-transformationsplanung, großangelegter ki-rollout, ki-projekte hochskalieren, ki-wachstumsstrategie, unternehmensweiter ki-plan, ki-skalierungsfahrplan, scale-out-ki-entwicklung, ki-expansionsstrategie, datenbasierte skalierungsentscheidungen, ki-scale-up-strategie"
sc_0035,Conduct and act upon comprehensive AI maturity assessments across enabling factors,NA,INTEGRATE AI,AI Strategy,"ai maturity assessment, assess ai readiness, maturity model evaluation, enabling factors analysis, ai capability assessment, ai readiness evaluation, comprehensive maturity analysis, act on maturity findings, improve based on maturity assessment, ai maturity model, evaluate ai maturity, organizational ai readiness, maturity factors assessment, ai readiness plan, maturity improvement actions","ki-reifegradbewertung, ki-bereitschaft beurteilen, reifegradmodell-evaluation, analyse der schlüsselfaktoren, ki-fähigkeitsbewertung, ki-bereitschaftseinschätzung, umfassende reifegradanalyse, ergebnisse der reifegradbewertung umsetzen, auf basis der reifegradbewertung verbessern, ki-reifegradmodell, ki-reife bewerten, organisatorische ki-bereitschaft, bewertung der reifegradfaktoren, ki-bereitschaftsplan, maßnahmen zur reifegradverbesserung"
sc_0036,Continuously re- and upskill existing workforce based on corporate AI readiness and implementation,NA,INTEGRATE AI,AI Strategy,"upskilling, reskilling workforce, continuous learning, ai readiness training, employee development for ai, workforce transformation, skills training, re-training, professional development in ai, organizational learning, talent development, skill gap closing, ongoing training, adapt workforce skills","kontinuierliches upskilling, umschulung der belegschaft, kontinuierliches lernen, ki-bereitschaftsschulung, mitarbeiterentwicklung für ki, transformation der belegschaft, kompetenztraining, weiterbildung, berufliche entwicklung in ki, organisatorisches lernen, talententwicklung, schließen von fähigkeitslücken, laufende schulungen, anpassung der mitarbeiterkompetenzen"
sc_0037,"Design AI strategies that enhance customer experience, personalization, and long-term customer engagement",NA,INTEGRATE AI,AI Strategy,"ai for customer experience, personalization strategies, customer engagement with ai, ai-driven cx, personalized ai solutions, enhancing customer experience with ai, customer-centric ai, long-term engagement, ai in customer service, personalization algorithms, customer retention via ai, engaging experiences, customer insight ai","ki für kundenerfahrung, personalisierungsstrategien, kundenbindung durch ki, ki-gesteuerte kundenerfahrung, personalisierte ki-lösungen, verbesserung der kundenerfahrung mit ki, kundenorientierte ki, langfristige einbindung, ki im kundenservice, personalisierungsalgorithmen, kundenbindung via ki, mit ki engagierende erlebnisse, ki für kundeninsights"
sc_0038,Identify and develop AI-enabled business model innovations that create competitive advantage and new value propositions,NA,INTEGRATE AI,AI Strategy,"ai business model innovation, new value propositions, competitive advantage through ai, business model transformation, innovation through ai, identify ai opportunities, create value with ai, strategic innovation, ai-driven business models, competitive edge via ai, innovation strategy, business value creation, disruptive ai models","ki-geschäftsmodellinnovation, neue wertversprechen, wettbewerbsvorteil durch ki, geschäftsmodelltransformation, innovation mittels ki, ki-möglichkeiten identifizieren, wertschöpfung mit ki, strategische innovation, ki-getriebene geschäftsmodelle, wettbewerbsvorteil durch ki, innovationsstrategie, geschäftswertschöpfung, disruptive ki-modelle"
sc_0039,Monitor competitive AI landscapes and relevant emerging technology trends,NA,FRAME AI,AI Strategy,"competitive intelligence, ai landscape monitoring, tech trend analysis, emerging technology tracking, competitor analysis, ai market trends, monitor industry trends, technology scouting, horizon scanning, innovation monitoring, competitive analysis, trend forecasting, tech landscape evaluation","wettbewerbsanalyse (competitive intelligence), ki-landschaftsbeobachtung, technologietrendanalyse, aufkommende technologietrends verfolgen, wettbewerbsanalyse, ki-marktentwicklungen, branchentrends monitorieren, technologiescouting, horizon-scanning, innovationsbeobachtung, wettbewerbsanalyse, trendprognosen, technologie-landschaftsbewertung"
sc_0040,Foster AI organizational change management and culture transformation initiatives,NA,INTEGRATE AI,AI Strategy,"ai change management, culture transformation, organizational change for ai, foster ai culture, ai adoption change management, transform organizational culture, ai culture initiatives, change management strategies, organizational transformation, ai-driven culture shift, manage change for ai adoption, cultural adoption of ai, ai leadership and change, workforce culture transformation, change initiatives for ai","ki-change-management, kultureller wandel, organisatorischer wandel durch ki, ki-kultur fördern, change-management bei ki-einführung, organisationale kultur transformieren, ki-kultur-initiativen, change-management-strategien, organisationstransformation, ki-getriebener kulturwandel, veränderungsmanagement für ki-adoption, kulturelle ki-adoption, ki-führung und wandel, transformation der unternehmenskultur, change-initiativen für ki"
